"node"	"X"	"Y"	"X."
1	690309	1976022	";"
2	683649	1973025	";"
3	693306	1963368	";"
4	686313	1958373	";"
5	696636	1946718	";"
6	671328	1968030	";"
7	676323	1957041	";"
8	655677	1967031	";"
9	649350	1952712	";"
10	665667	1949049	";"
11	666333	1933398	";"
12	676323	1935396	";"
13	677988	1924407	";"
14	679653	1945719	";"
15	688977	1936062	";"
16	692307	1925739	";"
17	700965	1935396	";"
18	702963	1927404	";"
19	704295	1919412	";"
20	678654	1912752	";"
21	691641	1917747	";"
22	705294	1911087	";"
23	693972	1906425	";"
24	679653	1904760	";"
